0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
52   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/vagrant/centinela/centinela/jetty/contexts at interval 0
93   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/vagrant/centinela/centinela/jetty/contexts/solr.xml
11500 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-49.1.jar' to classloader
11504 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
11513 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
11523 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.6.0.jar' to classloader
11525 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-stemming-1.7.1.jar' to classloader
11527 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.6.0.jar' to classloader
11532 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.6.0.jar' to classloader
11535 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-49.1.jar' to classloader
11535 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.6.0.jar' to classloader
11562 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.6.0.jar' to classloader
11586 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.6.0.jar' to classloader
11593 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.6.0.jar' to classloader
11601 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/centinela/centinela/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.6.0.jar' to classloader
11853 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_40
11854 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_40
12066 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
12071 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
12087 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
12088 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
12202 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – [centinela-core] Schema name=Blacklight Demo Index
12204 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [blacklight-core] Schema name=Blacklight Demo Index
13221 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
13222 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
13230 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
13231 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
13234 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
13237 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
13821 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
13822 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
13858 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – [centinela-core] Opening new SolrCore at /home/vagrant/centinela/centinela/jetty/solr/centinela-core/, dataDir=/home/vagrant/centinela/centinela/jetty/solr/centinela-core/data/
13858 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: centinela-core
13859 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Opening new SolrCore at /home/vagrant/centinela/centinela/jetty/solr/blacklight-core/, dataDir=/home/vagrant/centinela/centinela/jetty/solr/blacklight-core/data/
13860 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: blacklight-core
13885 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/centinela/centinela/jetty/solr/blacklight-core/data
13886 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/centinela/centinela/jetty/solr/centinela-core/data
13887 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/vagrant/centinela/centinela/jetty/solr/blacklight-core/data/index/
13890 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/vagrant/centinela/centinela/jetty/solr/centinela-core/data/index/
13926 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/centinela/centinela/jetty/solr/blacklight-core/data/index
13945 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/centinela/centinela/jetty/solr/centinela-core/data/index
14234 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
14235 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
14244 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
14245 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
14244 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
14247 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
14262 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
14263 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
14263 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
14265 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
14267 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
14271 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
